,Year,Kilometers_Driven,Mileage,Engine,Power,Seats,Price,en_Fuel,en_Transmission,en_Owner,en_Name
1037,2014,48000,16,2179,187,5,26.5,1,2,1,XF
1038,2011,55000,10,4367,308,7,67.0,1,2,1,Rover
1039,2017,4000,16,1368,160,5,17.75,2,2,1,Compass
1040,2010,94000,10,2354,152,5,4.8,2,2,2,CR-V
1041,2013,61110,18,1197,85,5,4.57,2,1,1,Swift
1042,2016,80000,24,1120,71,5,3.5,1,1,1,Xcent
1043,2015,43190,19,1461,108,5,7.61,1,1,1,Terrano
1044,2015,45000,18,1968,187,5,25.0,1,2,1,A4
1045,2016,44178,18,1197,82,5,5.88,2,1,1,Grand
1046,2015,84415,12,2494,100,8,13.5,1,1,1,Innova
1047,2015,35000,18,1197,80,5,4.6,2,1,1,i20
1048,2013,44000,22,1498,98,5,4.9,1,1,1,EcoSport
1049,2012,67635,17,1497,118,5,5.25,2,1,1,City
1050,2018,18385,14,1497,121,5,12.41,2,2,1,EcoSport
1051,2014,35000,22,1199,73,5,3.8,1,1,1,Polo
1052,2010,49000,19,2143,170,5,8.95,1,2,1,New
1053,2013,69000,22,1498,89,5,7.2,1,1,1,Ecosport
1054,2017,23228,14,1396,65,5,4.5,2,1,1,Indigo
1055,2014,68462,26,1248,74,5,4.15,1,1,1,Swift
1056,2016,74611,25,1248,88,5,7.94,1,1,1,S-Cross
1057,2014,90000,19,1461,108,5,7.25,1,1,1,Duster
1058,2016,22000,18,998,67,5,3.7,2,1,1,WagonR
1059,2010,58163,0,1086,62,5,2.45,2,1,1,Santro
1060,2011,109500,25,936,57,5,1.5,1,1,3,Beat
1061,2017,13363,16,1997,140,7,12.0,1,1,1,XUV500
1062,2012,51000,19,1086,68,5,2.2,2,1,2,i10
1063,2007,103000,13,2179,138,7,3.6,1,1,1,New
1064,2009,43002,20,1197,78,5,1.92,2,1,1,i10
1065,2016,108000,11,2755,171,7,20.5,1,2,1,Innova
1066,2010,82407,17,1896,106,5,4.25,1,1,1,Laura
1067,2013,29000,18,1197,82,5,3.2,2,1,1,Grand
1069,2014,45000,23,1248,74,5,3.85,1,1,1,Swift
1070,2010,93401,23,1396,90,5,3.48,1,1,1,i20
1071,2017,95802,25,1498,99,5,4.55,1,1,2,Figo
1072,2016,130000,25,1248,88,7,7.0,1,1,1,Ertiga
1073,2013,67443,20,1248,88,7,5.75,1,1,1,Ertiga
1074,2016,47681,16,1497,116,5,8.73,2,2,1,City
1075,2009,35000,19,796,46,5,1.7,2,1,1,Alto
1076,2016,68000,10,3198,197,7,29.5,1,2,1,Endeavour
1077,2019,34688,24,1248,88,5,10.49,1,1,1,Vitara
1078,2015,10512,8,2706,265,2,64.0,2,2,1,Boxster
1079,2016,58000,22,1248,74,5,7.55,1,1,1,Swift
1080,2014,40000,17,1193,88,5,3.95,2,1,1,Zest
1081,2010,61000,17,1197,80,5,3.25,2,1,4,i20
1082,2009,86000,19,1422,70,5,2.75,1,1,1,Fabia
1083,2015,45000,21,1364,87,5,7.35,1,1,1,Corolla
1084,2017,55000,17,1198,73,5,4.7,2,1,1,Ameo
1085,2016,36855,15,1591,121,5,8.77,2,1,2,Creta
1086,2013,46821,20,1197,78,5,3.42,2,1,1,i10
1087,2015,120000,18,1199,76,5,2.5,2,1,1,Beat
1088,2012,29000,14,2993,270,5,20.0,1,2,1,XF
1089,2014,40000,13,1598,102,5,5.25,2,1,1,Terrano
1090,2013,60000,15,1968,174,5,14.5,1,2,2,Q3
1091,2011,64984,16,1197,78,5,3.45,2,2,1,i10
1092,2015,73204,24,998,67,5,3.3,2,2,1,Alto
1093,2014,50000,11,4134,335,7,51.0,1,2,1,Q7
1094,2017,35000,24,1248,88,5,6.5,1,1,1,Vitara
1095,2013,17729,21,814,55,5,3.65,2,1,1,EON
1096,2012,97000,20,1497,115,5,7.25,1,1,1,XUV300
1097,2014,89614,22,1582,126,5,6.01,1,1,1,Verna
1098,2015,14000,18,998,67,5,2.8,2,1,1,WagonR
1099,2012,50000,17,1197,80,5,4.0,2,1,1,i20
1100,2014,62505,17,1497,117,5,5.95,2,1,1,City
1101,2011,248000,12,2494,102,7,9.2,1,1,2,Innova
1102,2012,94900,16,1493,110,5,5.35,1,1,1,Verna
1103,2017,55000,17,2179,153,7,12.0,1,1,1,Hexa
1104,2015,53735,12,2967,241,7,38.94,1,2,2,Q7
1105,2008,53934,18,998,67,5,2.69,2,1,2,WagonR
1106,2013,58500,17,1995,218,5,27.5,1,2,2,5
1107,2014,48000,18,1198,86,5,2.75,2,1,1,Amaze
1108,2016,24000,24,796,47,5,2.8,2,1,1,Alto
1109,2016,52001,17,1591,121,5,6.45,2,1,1,Verna
1110,2018,9565,23,1199,84,5,5.88,2,1,1,Tiago
1111,2013,32953,18,1197,85,5,4.65,2,1,1,Swift
1112,2014,18000,21,814,55,5,2.5,2,1,1,EON
1113,2018,20446,12,1950,191,5,51.35,2,2,1,E-Class
1114,2016,33016,22,1396,88,5,6.85,1,1,1,i20
1115,2012,48000,23,1364,67,5,5.25,1,1,1,Etios
1116,2014,72022,21,1364,87,5,9.23,1,1,1,Corolla
1117,2014,34000,20,1496,113,5,22.0,1,2,1,Cooper
1118,2014,69000,20,1498,88,5,5.19,1,1,1,Polo
1119,2009,108000,13,1798,157,5,4.35,2,2,1,Superb
1120,2013,34700,10,2148,170,5,24.5,1,2,1,E-Class
1121,2015,79000,17,1248,75,5,5.75,1,1,1,Swift
1122,2016,58197,18,1497,117,5,9.19,2,2,1,City
1123,2008,66000,8,2979,321,5,10.75,2,2,2,7
1124,2009,60000,19,1197,80,5,2.99,2,2,1,i10
1125,2014,57000,26,1248,74,5,3.89,1,1,1,Swift
1126,2018,45555,26,1498,98,5,11.73,1,1,1,City
1127,2016,55137,14,796,35,5,3.11,2,1,1,Omni
1128,2014,93325,17,1968,138,5,14.45,1,1,2,Superb
1129,2018,38000,24,1248,88,7,8.7,1,1,1,Ertiga
1130,2016,57738,24,1120,70,5,5.04,1,1,1,Grand
1131,2017,38282,28,1248,88,5,8.5,1,1,1,Ciaz
1132,2014,64000,19,2143,170,5,15.65,1,2,1,New
1133,2015,32000,20,1248,91,5,5.65,1,1,1,Avventura
1134,2010,83000,10,2497,204,5,16.5,2,2,1,E-Class
1135,2011,76000,26,998,67,5,2.0,3,1,1,Zen
1136,2012,67200,15,1598,103,5,3.9,2,1,1,Vento
1137,2013,62655,18,1995,184,5,14.5,1,2,1,3
1138,2015,16900,14,2993,258,5,44.0,1,2,1,5
1139,2017,8471,18,1197,81,5,5.0,2,1,1,Grand
1140,2016,69000,11,2755,171,7,19.75,1,2,1,Innova
1141,2017,30090,19,1461,108,5,11.44,1,2,1,Duster
1142,2011,120000,18,1248,75,5,1.75,1,1,1,Indica
1144,2016,35939,12,1796,185,5,30.42,2,1,1,E-Class
1145,2013,116694,15,2179,140,7,9.57,1,1,1,XUV500
1146,2016,40448,15,2523,62,7,3.5,1,1,1,Bolero
1147,2018,64456,24,1248,88,5,10.46,1,1,1,Vitara
1148,2014,52782,20,1248,91,5,4.85,1,1,1,Avventura
1149,2016,51672,19,1199,88,5,5.68,2,1,1,Amaze
1150,2015,56073,13,1798,157,5,13.25,2,2,1,Superb
1151,2011,65000,14,2993,270,5,16.0,1,2,1,XF
1152,2013,79000,18,998,67,5,3.0,2,1,1,WagonR
1154,2010,70200,14,1798,138,5,5.0,2,2,1,Corolla
1155,2016,42000,16,1197,85,5,4.75,2,1,1,Swift
1156,2014,62000,16,1198,74,5,5.35,2,1,1,Polo
1157,2017,20000,18,1197,81,5,5.98,2,1,1,Grand
1158,2011,80000,21,1248,88,5,3.5,1,1,3,SX4
1159,2018,50234,18,1197,81,5,4.77,2,1,1,Grand
1160,2016,50003,21,1197,83,5,5.45,2,1,1,Baleno
1161,2018,1000,20,1199,84,5,6.85,2,2,1,Tigor
1162,2016,54897,26,1248,74,5,7.3,1,2,1,Swift
1163,2007,108995,15,1193,65,5,1.25,2,1,1,Indica
1164,2015,73000,22,1598,118,5,8.25,1,1,1,SX4
1165,2008,65000,16,1298,88,5,2.71,2,1,1,Swift
1166,2016,32000,19,1197,82,5,3.6,2,1,1,Xcent
1167,2010,65000,18,1197,80,5,3.0,2,1,1,i20
1168,2016,21600,23,998,67,5,4.65,2,2,1,Celerio
1169,2010,39000,14,2143,170,5,9.5,1,2,1,New
1170,2011,58075,17,1298,85,5,2.95,2,1,1,Swift
1171,2011,58000,15,1598,103,5,3.0,2,1,1,Vento
1172,2015,58000,25,1248,74,5,5.95,1,1,1,Swift
1173,2008,89000,14,1798,138,5,4.0,2,2,1,Corolla
1174,2008,72000,13,1799,130,5,2.5,2,1,1,Civic
1175,2017,1800,16,1499,110,5,11.37,2,2,1,EcoSport
1176,2010,172050,19,1248,93,5,2.25,1,1,2,Linea
1177,2013,46230,19,1086,68,5,3.1,2,1,1,i10
1178,2014,86925,11,2400,215,5,17.18,1,2,1,XC60
1179,2018,5000,18,1197,81,5,6.5,2,1,1,i20
1180,2014,66000,26,1498,98,5,5.7,1,1,1,City
1181,2013,119000,12,2494,100,8,8.0,1,1,1,Innova
1182,2016,45000,25,799,53,5,2.6,2,1,1,KWID
1183,2009,66149,19,998,66,5,2.45,2,1,1,A-Star
1184,2014,42070,14,1595,120,5,11.57,2,2,1,B
1185,2012,35503,18,998,67,5,2.3,2,1,1,WagonR
1186,2016,41460,25,1248,74,5,5.9,1,1,1,Swift
1187,2015,40600,17,1591,121,5,7.2,2,2,1,Verna
1188,2013,87000,22,1582,126,5,5.9,1,2,1,Verna
1189,2014,30000,16,1497,116,5,6.0,2,1,2,City
1190,2010,27089,16,1086,66,5,1.95,2,1,1,i10
1191,2016,53702,23,1364,67,5,6.55,1,1,1,Etios
1192,2015,51000,27,1969,190,5,25.0,1,2,1,S60
1193,2012,36542,20,1399,68,5,2.65,1,1,1,Figo
1194,2017,15000,13,2987,265,5,69.5,1,2,1,E-Class
1195,2012,65000,22,1995,190,5,14.0,1,2,1,3
1196,2014,32000,22,796,47,5,2.1,2,1,2,Alto
1197,2017,24393,13,2393,147,7,20.4,1,1,1,Innova
1198,2019,1000,18,999,75,5,5.68,2,1,1,Polo
1199,2014,28238,13,1598,102,5,5.55,2,1,1,Terrano
1200,2013,59000,13,2477,175,7,12.75,1,1,1,Pajero
1201,2012,92000,14,1799,130,5,3.35,2,1,2,Civic
1202,2013,56840,22,796,47,5,1.55,2,1,1,Alto
1203,2013,62746,20,1598,103,5,5.9,1,1,2,Vento
1204,2012,96000,12,2179,187,5,18.98,1,2,1,Rover
1205,2014,24000,13,1997,153,5,11.51,2,1,1,CR-V
1206,2016,54000,20,1248,88,7,7.75,1,1,1,Ertiga
1207,2016,90000,12,2494,100,7,13.9,1,1,1,Innova
1208,2010,40000,15,1368,90,5,1.35,2,1,1,Manza
1209,2015,65938,12,2967,241,7,38.0,1,2,2,Q7
1210,2017,16100,17,1591,121,5,11.6,2,2,1,Verna
1211,2017,3600,21,1498,108,5,12.25,1,2,1,Vento
1212,2011,52000,17,1497,118,5,3.8,2,1,1,City
1213,2014,54000,20,1399,68,5,3.25,1,1,1,Figo
1214,2016,15399,18,1199,88,5,6.4,2,1,1,Jazz
1215,2012,75000,16,1198,73,5,3.95,2,1,2,Polo
1216,2010,76752,17,1497,117,5,3.57,2,1,1,City
1217,2005,56000,17,1497,78,5,1.25,2,1,2,City
1218,2015,70000,26,998,58,5,3.65,3,1,1,WagonR
1219,2013,46125,12,2354,187,5,12.5,2,2,2,CR-V
1220,2014,35000,18,1995,190,5,23.0,1,2,2,5
1221,2003,80000,12,1489,35,5,1.35,1,1,3,Classic
1222,2012,62729,12,2179,120,8,6.32,1,1,1,Scorpio
1223,2012,34000,20,1598,103,5,3.4,1,1,1,Vento
1224,1999,70000,17,993,60,5,0.77,2,1,2,Zen
1225,2009,32000,16,796,37,4,0.9,2,1,1,800
1226,2017,21000,14,1798,138,5,18.0,2,2,1,Corolla
1227,2013,49000,14,1997,245,5,19.0,2,2,1,3
1228,2007,40000,13,1299,70,5,1.1,2,1,3,Ikon
1229,2012,78000,18,1199,79,5,2.0,2,1,2,Beat
1230,2012,52000,21,1364,86,5,6.5,1,1,1,Corolla
1231,2014,65213,16,2179,140,7,9.45,1,1,1,XUV500
1232,2016,170000,24,1120,71,5,4.0,1,1,1,Xcent
1233,2017,36884,13,2143,204,5,32.25,1,2,1,E-Class
1234,2009,62500,20,1197,78,5,2.1,2,1,1,i10
1235,2015,68000,14,1798,138,5,9.75,2,2,2,Corolla
1236,2014,40748,14,1798,138,5,6.3,2,1,1,Corolla
1237,2013,60000,17,1968,184,5,21.0,1,2,1,Q3
1238,2014,12400,21,1396,88,5,4.65,1,1,1,i20
1239,2013,87000,19,2143,167,5,17.0,1,2,2,New
1240,2013,20248,21,1248,73,5,4.35,1,1,1,Ritz
1241,2017,52383,19,1582,126,5,14.82,1,1,1,Creta
1242,2018,1000,13,1999,177,5,40.0,1,2,1,XE
1243,2016,85000,14,2489,93,7,6.15,1,1,1,Xylo
1244,2014,47000,12,2494,100,7,11.25,1,1,1,Innova
1245,2018,17585,19,2494,157,5,32.0,2,2,1,Camry
1246,2018,32496,13,2967,241,5,45.62,1,2,1,Q5
1247,2017,34613,28,1248,74,5,6.24,1,1,1,Swift
1248,2015,153000,20,1248,88,7,4.8,1,1,1,Ertiga
1249,2014,54000,16,1197,85,5,4.5,2,1,2,Swift
1250,2015,16900,20,1197,78,5,3.87,2,1,1,i10
1251,2013,62334,20,1197,78,5,2.75,2,1,1,i10
1252,2018,23714,21,1197,83,5,6.57,2,1,1,Baleno
1253,2010,52325,16,1495,93,5,2.0,2,1,1,Accent
1254,2012,50000,19,1198,86,5,3.65,2,1,1,Brio
1255,2016,55746,22,1248,74,5,6.95,1,1,1,Swift
1256,2014,54000,20,1197,81,5,5.5,2,1,1,Xcent
1257,2013,43000,16,2179,140,7,7.0,1,1,1,XUV500
1258,2014,40000,13,2143,201,5,24.0,1,2,1,E-Class
1259,2010,125000,0,2179,115,5,11.0,1,2,2,Rover
1260,2016,51944,19,2143,170,5,32.5,1,2,1,New
1261,2015,46950,21,1396,88,5,6.45,1,1,1,i20
1262,2015,23000,19,1968,141,5,15.75,1,2,1,Octavia
1263,2014,54546,17,1497,118,5,5.5,2,1,1,City
1264,2015,51535,12,2982,168,7,19.03,1,2,1,Fortuner
1265,2013,45000,17,1968,184,5,15.25,1,2,1,Q3
1266,2012,46004,20,998,67,5,2.4,2,1,1,Alto
1267,2011,124000,23,1396,69,5,2.3,1,1,1,Indigo
1268,2014,77395,17,1968,174,5,14.35,1,2,1,A4
1269,2018,10600,33,796,40,4,3.5,3,1,1,Alto
1270,2018,22974,18,1497,117,5,11.97,2,2,1,City
1272,2015,65012,14,2755,174,7,18.9,1,1,1,Fortuner
1273,2017,17125,18,1197,82,5,5.4,2,1,1,Grand
1274,2015,90413,15,1196,73,7,2.95,2,1,1,Eeco
1275,2013,37000,16,1198,73,5,5.1,2,1,1,Polo
1276,2006,65000,18,1061,67,5,1.5,2,1,1,WagonR
1277,2011,66000,17,1497,118,5,4.9,2,1,1,City
1278,2010,86000,14,1799,130,5,2.9,2,1,1,Civic
1279,2005,98437,13,1493,100,5,1.15,2,1,1,City
1280,2010,18000,18,1197,80,5,2.3,2,1,1,i20
1281,2018,35070,24,1120,70,5,5.99,1,1,1,Grand
1282,2011,42000,14,1598,103,5,3.4,2,2,3,Vento
1283,2009,40000,20,1197,78,5,1.7,2,1,1,i10
1284,2009,43000,17,1197,80,5,1.99,2,1,1,i20
1285,2012,65000,18,1199,79,5,2.5,2,1,1,Beat
1286,2013,74000,22,1199,73,5,4.85,1,1,1,Polo
1287,2010,51192,15,1196,70,5,2.65,2,1,1,Figo
1288,2014,14262,9,1984,207,2,27.35,2,2,1,TT
1289,2015,66339,25,1498,98,5,6.9,1,1,2,City
1290,2013,90200,20,1399,68,5,3.5,1,1,1,Figo
1291,2015,57854,12,2494,100,7,12.5,1,1,1,Innova
1292,2017,32000,19,1373,91,5,9.2,2,2,1,Ciaz
1293,2015,29631,18,1197,82,5,4.9,2,2,1,Grand
1295,2014,54173,18,999,123,5,5.55,2,1,1,EcoSport
1296,2014,50000,14,1798,177,5,13.5,2,2,1,Octavia
1297,2010,145000,20,1248,91,5,2.6,1,1,1,Linea
1298,2015,78000,16,1298,88,5,4.5,2,1,1,Swift
1299,2013,65000,11,2993,180,7,34.0,1,2,2,Rover
1300,2012,120000,12,2494,102,7,12.0,1,1,1,Innova
1301,2015,14000,28,1248,74,5,5.25,1,1,1,Swift
1302,2014,57456,17,1968,174,5,21.56,1,2,1,A6
1303,2012,44450,22,1995,190,5,24.68,1,2,1,5
1304,2013,63777,18,1197,82,5,3.67,2,1,1,i20
1305,2016,31000,17,1995,190,5,29.5,1,2,1,X1
1306,2012,60000,17,1496,88,5,3.1,2,1,1,Etios
1307,2015,78008,17,1405,70,5,2.9,1,1,1,Indigo
1308,2014,33000,0,2987,165,5,43.0,1,2,2,M-Class
1309,2009,27078,10,1984,114,4,15.95,2,2,1,Beetle
1310,2011,57275,19,1598,103,5,4.5,1,1,1,Polo
1311,2014,45000,24,1120,70,5,3.49,1,1,1,Grand
1312,2014,57319,25,1248,74,5,4.25,1,1,1,Swift
1313,2008,121097,24,1396,88,5,1.9,1,1,2,Verna
1314,2011,89000,16,1995,218,5,16.57,1,2,1,5
1315,2012,72000,17,1497,118,5,5.75,2,1,1,City
1316,2013,36000,16,1968,147,5,14.0,1,2,2,A4
1317,2013,86000,19,1248,75,5,2.5,1,1,2,Linea
1318,2002,85000,13,1343,90,5,1.2,2,1,1,City
1320,2013,37613,22,1995,190,5,13.95,1,2,1,3
1321,2007,100000,16,1388,68,5,1.6,2,1,1,Fiesta
1322,2016,5240,21,624,37,4,3.6,2,2,1,Nano
1323,2018,20000,15,1196,73,5,4.5,3,1,1,Eeco
1324,2019,16862,20,1197,81,5,6.06,2,1,1,Ignis
1325,2013,59254,17,1298,85,5,5.29,2,1,2,Swift
1326,2014,60000,22,1498,89,5,5.75,1,1,1,Ecosport
1328,2014,47674,19,1197,85,5,5.72,2,1,1,Swift
1329,2014,61517,16,1197,78,5,4.39,2,2,1,i10
1330,2016,62946,15,2179,140,7,11.05,1,1,1,XUV500
1331,2015,66823,22,1396,88,5,4.83,1,1,2,i20
1332,2013,79494,33,998,67,5,2.96,3,1,1,WagonR
1333,2012,107000,21,1396,88,5,4.5,1,1,2,i20
1334,2011,55000,16,2993,258,5,19.5,1,2,2,7
1335,2017,24000,14,1598,103,5,8.75,2,2,1,Rapid
1336,2016,20002,14,2967,245,7,67.0,1,2,1,Q7
1337,2016,54317,17,1497,117,5,8.4,2,1,1,City
1338,2016,10200,19,1197,82,5,4.99,2,1,1,Xcent
1339,2016,24337,26,1498,98,5,8.18,1,1,1,City
1340,2012,79000,18,1198,86,5,2.9,2,1,1,Brio
1341,2015,40500,28,1248,88,5,7.1,1,1,1,Ciaz
1342,2016,23000,26,1248,74,5,7.05,1,1,1,Swift
1343,2015,63050,11,2354,158,5,17.5,2,2,1,CR-V
1344,2008,78000,14,1794,138,5,3.41,2,2,2,Corolla
1346,2012,66245,17,1497,118,5,5.68,2,1,1,City
1347,2007,74112,12,2179,120,9,4.1,1,1,1,Scorpio
1348,2011,87670,13,1798,157,5,4.0,2,1,1,Laura
1349,2015,10000,18,1995,184,5,30.0,1,2,1,3
1350,2007,62493,15,1586,104,5,1.8,2,1,1,SX4
1351,2015,44620,20,1373,91,5,6.93,2,1,1,Ciaz
1352,2012,66538,10,4367,308,7,70.0,1,2,1,Rover
1353,2013,60000,12,2494,100,7,7.9,1,1,1,Innova
1354,2011,20842,0,1086,62,5,2.78,2,1,1,Santro
1355,2014,110000,13,2199,194,7,14.4,1,2,1,Santa
1356,2011,45000,11,1796,186,5,13.5,2,2,2,New
1357,2014,40000,26,998,58,5,3.15,3,1,2,WagonR
1358,2012,49008,19,796,46,5,2.88,2,1,1,Alto
1359,2016,31000,24,796,47,5,2.15,2,1,1,Alto
1360,2013,8000,16,1498,97,5,3.75,2,1,1,Sunny
1361,2019,171,24,796,47,5,3.6,2,1,1,Alto
1362,2018,2100,24,998,67,5,3.6,2,1,1,Alto
1363,2018,20667,18,1197,81,5,7.55,2,2,1,Grand
1364,2015,50000,24,1498,98,7,4.7,1,1,1,Mobilio
1365,2010,100030,18,1248,90,5,1.6,1,1,2,Manza
1366,2011,75372,16,1991,123,5,3.34,1,1,1,Optra
1367,2016,60475,18,1497,117,5,9.1,2,2,1,City
1368,2019,18453,18,1197,81,5,6.17,2,1,1,Grand
1369,2008,96578,22,1582,126,5,2.5,1,1,1,Verna
1370,2016,31001,18,1198,75,5,3.0,2,1,1,Micra
1371,2012,65900,22,1582,126,5,5.75,1,1,1,Verna
1372,2017,26246,15,1591,121,5,10.75,2,1,1,Creta
1373,2013,62700,20,998,67,5,2.85,2,1,2,WagonR
1374,2008,90000,10,2354,180,5,6.5,2,2,1,Accord
1375,2016,36000,16,1497,118,5,9.45,2,2,1,City
1376,2016,46000,27,1248,74,5,6.75,1,1,1,Baleno
1377,2017,73003,26,1498,98,5,7.75,1,1,1,City
1378,2014,46566,22,1396,88,5,4.4,1,1,1,i20
1379,2015,41493,13,2987,265,5,42.0,1,2,1,E-Class
1380,2014,103788,19,1461,108,5,5.67,1,1,1,Terrano
1381,2016,45000,19,1461,108,5,11.5,1,2,1,Duster
1382,2009,120000,18,998,67,5,1.69,2,1,1,WagonR
1383,2009,97359,17,1493,110,5,1.8,1,1,2,Getz
1384,2016,62000,18,1197,85,5,3.2,2,1,1,Ritz
1386,2019,18373,22,1995,187,5,45.86,1,2,1,5
1387,2016,60453,16,1198,74,5,5.1,2,1,1,Polo
1389,2010,69009,15,1196,70,5,2.4,2,1,2,Figo
1390,2013,30000,18,1995,184,5,22.0,1,2,1,3
1391,2012,70707,22,1582,126,5,4.28,1,1,1,Verna
1392,2015,64677,20,1461,83,5,5.67,1,1,1,Duster
1393,2018,3000,18,1197,81,5,6.2,2,2,1,Grand
1394,2013,49000,17,1995,184,5,14.49,1,2,2,X1
1395,2010,71000,21,1248,73,5,3.0,1,1,1,Ritz
1396,2010,52000,19,1086,68,5,2.25,2,1,2,i10
1397,2016,35659,15,2993,258,7,43.78,1,2,1,X5
1398,2019,5377,16,1497,116,5,11.45,2,1,1,City
1399,2014,65000,11,2696,184,7,10.5,1,2,1,Ssangyong
1400,2015,92708,22,1498,89,5,7.48,1,1,1,Ecosport
1401,2010,48105,19,796,46,5,3.1,2,1,1,Alto
1402,2011,46759,16,1198,74,5,2.55,2,1,1,Polo
1403,2013,62000,22,1199,73,5,3.5,1,1,1,Polo
1404,2012,35175,22,1199,73,5,2.59,1,1,1,Polo
1405,2013,70000,20,1248,88,7,5.45,1,1,1,Ertiga
1406,2017,30000,22,1498,98,5,6.0,1,1,1,EcoSport
1407,2016,66618,11,2755,171,7,15.49,1,2,1,Innova
1408,2010,69300,10,2497,150,5,12.5,2,2,2,5
1409,2017,148000,23,1248,74,5,4.75,1,1,1,Swift
1410,2017,22000,18,999,123,5,7.85,2,1,1,Ecosport
1411,2013,75000,16,1493,110,5,6.0,1,1,1,Verna
1412,2016,43706,17,1193,88,5,4.0,2,1,1,Zest
1413,2011,42000,14,2967,241,5,28.75,1,2,1,A7
1414,2012,65000,22,1248,74,5,2.5,1,1,1,Indica
1415,2015,76128,26,1248,74,5,5.5,1,1,1,Swift
1416,2010,39852,16,1368,90,5,1.59,2,1,1,Linea
1417,2017,18673,18,1197,81,5,6.22,2,1,1,i20
1418,2016,11583,21,814,55,5,2.75,2,1,1,EON
1420,2017,50000,17,2143,136,5,25.0,1,2,1,GLA
1421,2014,77000,23,998,67,5,2.8,2,1,1,Celerio
1422,2014,54890,17,1199,76,5,2.45,2,1,2,Beat
1423,2016,21000,19,1199,88,5,6.35,2,2,1,Jazz
1424,2009,58557,16,1995,181,5,8.0,1,2,3,3
1425,2014,70000,19,1461,108,5,8.25,1,1,1,Duster
1426,2017,16000,17,1499,110,5,5.95,2,2,1,Figo
1427,2018,8899,13,2393,147,7,19.92,1,1,1,Innova
1428,2016,83629,25,936,56,5,3.15,1,1,1,Beat
1429,2014,35059,17,1798,189,4,5.75,2,2,1,Polo
1430,2018,30552,10,3198,197,7,32.44,1,2,1,Endeavour
1431,2016,44875,22,1582,126,5,8.01,1,2,2,Verna
1432,2017,25095,18,1196,86,5,6.48,2,1,1,Figo
1433,2007,59000,16,796,37,4,0.75,2,1,1,800
1434,2014,36000,26,1498,98,5,5.0,1,1,1,City
1435,2012,37000,16,2179,140,7,7.75,1,1,1,XUV500
1436,2010,90000,20,1399,68,5,2.6,1,1,1,Figo
1437,2018,17000,17,1497,121,5,9.2,2,1,1,EcoSport
1438,2015,42575,18,1197,81,5,5.05,2,1,1,i20
1439,2012,131000,12,2494,100,7,9.6,1,1,1,Innova
1440,2013,74000,20,1461,83,5,5.5,1,1,1,Duster
1441,2013,47234,12,2494,100,8,9.35,1,1,1,Innova
1442,2009,231673,17,1497,118,5,2.6,2,1,1,City
1443,2016,10000,24,998,67,5,3.5,2,1,1,Alto
1444,2016,49389,19,1198,67,5,4.26,2,1,1,Micra
1445,2016,12000,23,998,67,5,4.25,2,2,2,Celerio
1446,2010,65000,11,1796,178,5,11.75,2,1,2,New
1447,2013,177000,23,1498,88,5,3.5,1,1,1,Fiesta
1448,2015,89000,17,1591,121,5,7.5,2,1,1,Verna
1449,2009,72000,15,1396,100,5,3.25,2,2,3,i20
1450,2012,49000,17,1298,85,5,4.9,2,1,1,Swift
1451,2014,51355,14,2143,170,5,27.0,1,2,1,New
1452,2017,13460,18,1197,81,5,8.91,2,1,1,Elite
1453,2014,35642,17,1591,121,5,6.69,2,2,1,Verna
1454,2014,52895,17,1998,163,5,6.02,1,1,1,Cruze
1455,2010,93000,14,1798,138,5,4.5,2,1,1,Corolla
1456,2011,70000,19,998,66,5,2.0,2,1,1,A-Star
1457,2012,32048,23,1461,63,5,2.4,1,1,1,Micra
1458,2013,4700,25,624,37,4,1.2,2,1,1,Nano
1459,2014,71800,23,1248,74,5,2.9,1,1,1,Swift
1461,2016,45000,17,1968,184,5,27.0,1,2,1,Q3
1462,2016,15388,25,1498,98,5,7.5,1,1,1,Amaze
1463,2004,98798,14,1599,104,5,1.5,2,1,1,Optra
1464,2016,43000,14,1968,174,5,39.5,1,2,1,Q5
1465,2012,85112,23,1248,73,5,3.39,1,1,1,Ritz
1466,2018,37804,15,2179,120,7,12.4,1,1,1,Scorpio
1467,2014,45000,28,1248,88,5,6.85,1,1,1,Ciaz
1468,2011,116000,21,1364,138,5,5.75,1,1,2,Corolla
1469,2015,100073,25,1396,69,5,2.0,1,1,2,Indica
1470,2006,165000,16,796,37,4,0.9,2,1,1,800
1471,2015,22000,16,1198,74,5,3.8,2,1,1,Polo
1472,2017,9500,14,1999,149,5,16.35,2,2,1,Elantra
1473,2012,152000,11,2982,169,7,16.5,1,2,1,Fortuner
1474,2019,17705,21,1197,83,5,8.7,2,1,1,Baleno
1475,2016,12000,21,1197,83,5,6.1,2,1,1,Baleno
1476,2013,51000,23,1998,112,5,21.94,1,2,1,Cooper
1477,2009,42000,13,2987,210,5,22.0,1,2,2,S
1478,2015,51000,20,998,67,5,2.65,2,1,1,Alto
1479,2017,42527,20,1197,81,5,5.27,2,1,1,Swift
1480,2014,45000,22,1248,74,5,2.48,1,1,1,Sail
1481,2011,70000,12,2494,102,8,6.0,1,1,1,Innova
1482,2009,92000,11,2982,171,7,8.9,1,1,1,Fortuner
1483,2012,57156,18,1995,184,5,18.0,1,2,2,3
1484,2016,53211,16,1395,138,5,11.64,2,1,1,Octavia
